nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.0,8,euclidean,500,120,0.2,euclidean,24,0.5269591212272644,0.17998219553491945,0.34697692569234495,38.927
50,0.0,8,euclidean,500,120,0.0,euclidean,24,0.5269591212272644,0.17998219553491945,0.34697692569234495,38.873
50,0.0,8,euclidean,500,120,0.1,euclidean,24,0.5269591212272644,0.17998219553491945,0.34697692569234495,42.657
50,0.0,16,euclidean,300,50,0.2,euclidean,36,0.6199988126754761,0.27322871755485345,0.3467700951206226,36.666
120,0.0,8,euclidean,300,80,0.2,euclidean,31,0.5779920220375061,0.23144059068931208,0.346551431348194,50.78
120,0.0,24,euclidean,200,50,0.2,euclidean,34,0.554062008857727,0.20820750929497808,0.34585449956274894,55.125
120,0.0,8,euclidean,300,50,0.2,euclidean,33,0.5981932282447815,0.2529630470072789,0.3452301812375026,46.136
120,0.0,8,euclidean,300,120,0.2,euclidean,35,0.6412200331687927,0.2967759953917855,0.3444440377770072,40.0
120,0.0,8,euclidean,500,120,0.2,euclidean,24,0.575480580329895,0.2315627781947669,0.3439178021351281,46.173
120,0.0,8,euclidean,500,120,0.0,euclidean,24,0.575480580329895,0.2315627781947669,0.3439178021351281,50.368
120,0.0,8,euclidean,500,120,0.1,euclidean,24,0.575480580329895,0.2315627781947669,0.3439178021351281,44.434
80,0.0,24,euclidean,200,80,0.1,euclidean,46,0.6269031167030334,0.2846968877096825,0.34220622899335096,39.685
80,0.0,24,euclidean,200,80,0.0,euclidean,46,0.6269031167030334,0.2846968877096825,0.34220622899335096,39.672
120,0.0,16,euclidean,500,120,0.2,euclidean,24,0.5690584778785706,0.22697201906125086,0.3420864588173197,49.952
120,0.0,16,euclidean,500,120,0.1,euclidean,24,0.5690584778785706,0.22697201906125086,0.3420864588173197,52.539
120,0.0,16,euclidean,500,120,0.0,euclidean,24,0.5690584778785706,0.22697201906125086,0.3420864588173197,51.218
120,0.0,8,euclidean,500,50,0.1,euclidean,31,0.5978038907051086,0.25608755607533734,0.3417163346297713,42.832
120,0.0,8,euclidean,500,50,0.0,euclidean,31,0.5978038907051086,0.25608755607533734,0.3417163346297713,40.185
120,0.0,8,euclidean,300,80,0.1,euclidean,33,0.5781065821647644,0.23742777845659727,0.34067880370816717,48.905
120,0.0,8,euclidean,300,80,0.0,euclidean,33,0.5781065821647644,0.23742777845659727,0.34067880370816717,53.169
50,0.0,8,euclidean,300,120,0.2,euclidean,35,0.6025957465171814,0.2622318420639215,0.34036390445325987,31.844
50,0.0,8,euclidean,300,120,0.1,euclidean,35,0.6025957465171814,0.2622318420639215,0.34036390445325987,31.627
50,0.0,8,euclidean,300,120,0.0,euclidean,35,0.6025957465171814,0.2622318420639215,0.34036390445325987,31.613
80,0.0,24,euclidean,200,120,0.2,euclidean,42,0.6404979228973389,0.300214700902442,0.34028322199489686,40.716
120,0.0,8,euclidean,500,50,0.2,euclidean,29,0.5911983251571655,0.25160152908935396,0.33959679606781157,46.152
80,0.0,24,euclidean,300,120,0.2,euclidean,31,0.5793392658233643,0.2399238946394596,0.33941537118390464,46.835
80,0.0,24,euclidean,300,120,0.0,euclidean,31,0.5793392658233643,0.2399238946394596,0.33941537118390464,47.333
80,0.0,24,euclidean,300,120,0.1,euclidean,31,0.5793392658233643,0.2399238946394596,0.33941537118390464,44.744
120,0.0,8,euclidean,300,120,0.0,euclidean,37,0.6421313881874084,0.30319956710712354,0.3389318210802849,37.925
120,0.0,8,euclidean,300,120,0.1,euclidean,37,0.6421313881874084,0.30319956710712354,0.3389318210802849,36.098
50,0.0,8,euclidean,300,50,0.1,euclidean,39,0.6090723872184753,0.2704358602873152,0.33863652693116014,31.807
50,0.0,8,euclidean,300,50,0.0,euclidean,39,0.6090723872184753,0.2704358602873152,0.33863652693116014,31.513
80,0.0,8,euclidean,300,50,0.0,euclidean,38,0.605604887008667,0.26701461013458083,0.33859027687408616,35.035
80,0.0,8,euclidean,300,50,0.1,euclidean,38,0.605604887008667,0.26701461013458083,0.33859027687408616,37.47
120,0.0,8,euclidean,200,80,0.2,euclidean,42,0.6149477958679199,0.2769641641501859,0.33798363171773405,41.406
50,0.0,8,euclidean,300,50,0.2,euclidean,38,0.6064555644989014,0.2684808602000384,0.33797470429886295,31.354
