nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.1,16,euclidean,20,50,0.0,euclidean,3,0.3781032860279083,0.0074121135112240576,0.37069117251668426,0.731
50,0.1,16,euclidean,50,50,0.1,euclidean,3,0.3781032860279083,0.0074121135112240576,0.37069117251668426,0.719
50,0.1,16,euclidean,50,50,0.0,euclidean,3,0.3781032860279083,0.0074121135112240576,0.37069117251668426,0.733
50,0.1,8,euclidean,20,5,0.0,euclidean,58,0.5769374966621399,0.20626853028377806,0.37066896637836183,0.417
50,0.1,8,euclidean,20,5,0.1,euclidean,58,0.5769374966621399,0.20626853028377806,0.37066896637836183,0.403
10,0.1,8,euclidean,50,20,0.1,euclidean,31,0.6378900408744812,0.26937738246505716,0.36851265840942404,0.383
10,0.1,8,euclidean,50,20,0.0,euclidean,31,0.6378900408744812,0.26937738246505716,0.36851265840942404,0.372
50,0.0,16,euclidean,20,50,0.0,euclidean,30,0.696495532989502,0.3299449385853452,0.36655059440415677,0.456
50,0.0,16,euclidean,20,50,0.1,euclidean,30,0.696495532989502,0.3299449385853452,0.36655059440415677,0.461
50,0.1,8,euclidean,20,10,0.1,euclidean,52,0.6156430244445801,0.25222363405336723,0.36341939039121285,0.367
50,0.1,8,euclidean,20,10,0.0,euclidean,52,0.6156430244445801,0.25222363405336723,0.36341939039121285,0.391
50,0.1,4,euclidean,20,20,0.1,euclidean,48,0.6683698892593384,0.3051673019906819,0.36320258726865645,0.313
50,0.1,4,euclidean,20,20,0.0,euclidean,48,0.6683698892593384,0.3051673019906819,0.36320258726865645,0.332
20,0.1,16,euclidean,50,20,0.1,euclidean,28,0.6002241969108582,0.23761118170266837,0.3626130152081898,0.522
20,0.1,16,euclidean,50,20,0.0,euclidean,28,0.6002241969108582,0.23761118170266837,0.3626130152081898,0.553
20,0.1,16,euclidean,50,5,0.0,euclidean,29,0.5353164672851562,0.17344345616264295,0.3618730111225133,0.557
20,0.1,16,euclidean,50,5,0.1,euclidean,29,0.5353164672851562,0.17344345616264295,0.3618730111225133,0.549
10,0.1,4,euclidean,50,20,0.1,euclidean,28,0.6181507110595703,0.2575180008470987,0.3606327102124716,0.326
10,0.1,4,euclidean,50,20,0.0,euclidean,28,0.6181507110595703,0.2575180008470987,0.3606327102124716,0.324
50,0.1,16,euclidean,20,10,0.0,euclidean,51,0.623393714427948,0.2676831850910631,0.3557105293368849,0.49
50,0.1,16,euclidean,20,10,0.1,euclidean,51,0.623393714427948,0.2676831850910631,0.3557105293368849,0.502
